"year","flujo","macro_sector","lv1","lit_lv1","lv2","lit_lv2","lv3","lit_lv3","total_millones","top_paises_lv1","tva_lv1","top_paises_lv2","tva_lv2","top_paises_lv3","tva_lv3"
2021,"E","Agroalimentario","21","Tabaco","2111","Tabaco","211111","Tabaco",236.59,"Alemania, Portugal, Indeterminado Extra.",NA,"Alemania, Portugal, Indeterminado Extra.",NA,"Alemania, Portugal, Indeterminado Extra.",NA
2021,"E","Agroalimentario","22","Grasas y aceites","2211","Grasas y aceites","221111","Aceite de soja",508.68,"Portugal, Marruecos, Estados Unidos",NA,"Portugal, Marruecos, Estados Unidos",NA,"Marruecos, Argelia, Reino Unido",NA
2021,"E","Agroalimentario","22","Grasas y aceites","2211","Grasas y aceites","221112","Aceite de oliva",708.69,"Portugal, Marruecos, Estados Unidos",NA,"Portugal, Marruecos, Estados Unidos",NA,"Estados Unidos, Italia, Portugal",NA
2021,"E","Agroalimentario","22","Grasas y aceites","2211","Grasas y aceites","221113","Aceite de girasol",294.02,"Portugal, Marruecos, Estados Unidos",NA,"Portugal, Marruecos, Estados Unidos",NA,"Portugal, Francia, Reino Unido",NA
2021,"E","Agroalimentario","22","Grasas y aceites","2211","Grasas y aceites","221114","Margarina",186.71,"Portugal, Marruecos, Estados Unidos",NA,"Portugal, Marruecos, Estados Unidos",NA,"Francia, Portugal, Estados Unidos",NA
2021,"E","Agroalimentario","22","Grasas y aceites","2211","Grasas y aceites","221115","Las demás grasas y aceites animales",95.22,"Portugal, Marruecos, Estados Unidos",NA,"Portugal, Marruecos, Estados Unidos",NA,"Francia, Italia, Países Bajos",NA
2021,"E","Agroalimentario","22","Grasas y aceites","2211","Grasas y aceites","221116","Las demas grasas y aceites vegetales, y de orig",425.52,"Portugal, Marruecos, Estados Unidos",NA,"Portugal, Marruecos, Estados Unidos",NA,"Estados Unidos, Francia, Portugal",NA
2021,"E","Agroalimentario","22","Grasas y aceites","2211","Grasas y aceites","221117","Residuos",373.91,"Portugal, Marruecos, Estados Unidos",NA,"Portugal, Marruecos, Estados Unidos",NA,"Países Bajos, Portugal, Francia",NA
2021,"E","Agroalimentario","23","Semillas, oleaginosas, mandíoca y forraje","2311","Semillas, oleaginosas, mandíoca y forraje","231111","Soja",5.01,"Francia, Emiratos Árabes Unidos, Arabia Saudí",NA,"Francia, Emiratos Árabes Unidos, Arabia Saudí",NA,"Turquía, Portugal, Francia",NA
2021,"E","Agroalimentario","23","Semillas, oleaginosas, mandíoca y forraje","2311","Semillas, oleaginosas, mandíoca y forraje","231112","Girasol",91.19,"Francia, Emiratos Árabes Unidos, Arabia Saudí",NA,"Francia, Emiratos Árabes Unidos, Arabia Saudí",NA,"Francia, Rusia, Ucrania",NA
