macro_sector,lv1,lit_lv1,lv2,lit_lv2,lv3,lit_lv3,codigo_nc8
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111414,Preparados  de aves,16022010
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111414,Preparados  de aves,16023111
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111414,Preparados  de aves,16023119
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111414,Preparados  de aves,16023180
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111414,Preparados  de aves,16023211
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111414,Preparados  de aves,16023219
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111414,Preparados  de aves,16023230
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111414,Preparados  de aves,16023290
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111414,Preparados  de aves,16023921
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111414,Preparados  de aves,16023929
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111414,Preparados  de aves,16023985
Agroalimentario,11,Sectores Cárnicos,1115,Otros animales,111511,Otros animales vivos,01012100
Agroalimentario,11,Sectores Cárnicos,1115,Otros animales,111511,Otros animales vivos,01012910
Agroalimentario,11,Sectores Cárnicos,1115,Otros animales,111511,Otros animales vivos,01012990
